scene_id,probe_id,classification,reason,n_open,open_dirs,decision_dir,goalA_dir,goalB_dir,branch_sep_deg,goalA_depth_m,goalB_depth_m,branch_dino_cosine,eye_x,eye_y,depth_E,depth_N,depth_W,depth_S
warehouse_multiple_shelves,p00,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,7.079,17.463,0.682,-5.393,0.337,7.079,17.463,4.937,12.537
warehouse_multiple_shelves,p10,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,11.046,17.463,0.621,-2.866,0.337,11.046,17.463,6.87,12.537
warehouse_multiple_shelves,p20,WALL_ONLY,"straight corridor (2 opposite open, no choice)",2,N|S,,,,,,,,-0.339,0.337,0.503,6.038,0.396,12.508
warehouse_multiple_shelves,p30,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,13.393,11.008,0.628,2.188,0.337,7.077,13.393,11.008,12.537
warehouse_multiple_shelves,p40,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,17.471,7.278,0.659,4.715,0.337,4.697,17.471,7.278,12.537
warehouse_multiple_shelves,p01,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,7.489,15.055,0.616,-5.393,2.745,7.489,15.055,4.741,14.945
warehouse_multiple_shelves,p11,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,11.196,15.226,0.548,-2.866,2.745,11.196,15.226,6.277,14.945
warehouse_multiple_shelves,p21,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,W,E,S,90.0,9.107,5.281,0.528,-0.339,2.745,9.107,4.834,8.726,5.281
warehouse_multiple_shelves,p31,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,15.055,11.063,0.601,2.188,2.745,6.798,15.055,11.063,14.945
warehouse_multiple_shelves,p41,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,15.055,7.95,0.623,4.715,2.745,4.668,15.055,7.95,14.945
