route_family_id,split_proposal,route_length_m,n_turns,turn_type,zone_class,map_feasibility,yaw_curvature_feasibility,controller_feasibility,decider_verdict,expected_difficulty,held_out_family_status,approval_reason
h4_navgen_31_000,train,6.5,7,multi,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_001,train,4.31,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_002,train,7.38,3,multi,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_003,n/a,8.04,4,multi,green_only,FAIL,PASS,pending_scripted_precheck,REJECT_MAP_DEFECT,long_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"rejected: REJECT_MAP_DEFECT at (3.65, -2.15)"
h4_navgen_31_004,n/a,7.67,6,multi,green_only,PASS,FAIL,pending_scripted_precheck,REJECT_YAW_INFEASIBLE,long_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,rejected: REJECT_YAW_INFEASIBLE
h4_navgen_31_005,train,5.83,2,multi,amber_required,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_006,n/a,8.46,3,multi,green_only,FAIL,PASS,pending_scripted_precheck,REJECT_MAP_DEFECT,long_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"rejected: REJECT_MAP_DEFECT at (3.65, -2.15)"
h4_navgen_31_007,train,3.36,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,short_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_008,held_out_test,2.99,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,short_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_009,train,4.02,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,short_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_010,n/a,8.69,9,multi,green_only,FAIL,PASS,pending_scripted_precheck,REJECT_MAP_DEFECT,long_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"rejected: REJECT_MAP_DEFECT at (-4.15, 1.6)"
h4_navgen_31_011,train,3.06,4,multi,amber_required,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,short_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_012,held_out_test,2.42,5,multi,amber_required,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,short_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_013,train,5.57,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_014,n/a,3.12,8,multi,amber_required,PASS,FAIL,pending_scripted_precheck,REJECT_YAW_INFEASIBLE,short_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,rejected: REJECT_YAW_INFEASIBLE
h4_navgen_31_015,validation,5.51,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_016,held_out_test,6.32,1,single,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_single,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
h4_navgen_31_017,validation,5.1,2,multi,green_only,PASS,PASS,pending_scripted_precheck,PASS_DEMONSTRATION,medium_multi,preserved: uturn/chain/L stay held out; new held-out proposals marked,"approved: map-free, curvature feasible under continuous yaw model"
