id,when,where,what,why,how_fixed,commands,validation
ISS-001,Early real-robot bring-up,RTX desktop terminal,ROS 2 Python package rclpy was not found when launching run_vln_m3pro.py,"The controller was launched inside the conda base environment, which did not include the ROS 2 Humble Python site packages.",I deactivated conda and launched with /usr/bin/python3 after sourcing /opt/ros/humble/setup.bash.,conda deactivate 2>/dev/null || true; source /opt/ros/humble/setup.bash; /usr/bin/python3 scripts/real_robot/run_vln_m3pro.py --backbone auto --safety-radius 0.50 --trace-dir results/vln_runs --cert-dir results/certificates,"The banner changed from ROS2: NOT FOUND to ROS2: available, and the FleetSafe-VLN node reported ready."
ISS-002,Controller launch from wrong machine,Jetson ~/robotics/FleetSafe-VisualNav-Benchmark,"git pull, make help, and run_vln_m3pro.py failed on the Jetson.",The Jetson directory existed but was not a real git clone and did not contain the new scripts.,"I treated the RTX desktop as the controller host and the Jetson as the sensing/action host, then documented rsync as the later Jetson synchronization method.",rsync -av --exclude data/real_robot_bags --exclude logs ~/robotics/FleetSafe-VisualNav-Benchmark/ jetson@172.20.10.14:~/robotics/FleetSafe-VisualNav-Benchmark/,"The desktop could see /scan0, /scan1, /odom_raw, /camera/color/image_raw, and the /fleetsafe/* topics over ROS_DOMAIN_ID=30."
ISS-003,First topic publication test,ROS 2 graph,Publishing to /fleetsafe/instruction_text waited forever for a subscription.,"The controller was either not running, running in another domain, or stopped by earlier errors.",I verified the subscription using ros2 topic info and then relaunched the controller in a clean terminal.,ros2 topic info /fleetsafe/instruction_text -v,Subscription count became 1 and the node name fleetsafe_vln_controller appeared.
ISS-004,Make target rollout,Makefile help section,make vln-robot and make vln-robot-live initially did not exist locally.,"The local repository had not pulled the commit that added the VLN targets, and the help text did not expose all targets.","I pulled the repository, added a VLN section to make help, and verified the help output.","git pull --ff-only origin main; make help | grep -A 35 ""VLN""","The help output listed vln-desktop, vln-desktop-radius, vln-send, watchers, and audits."
ISS-005,Sensor discovery,Jetson ROS 2 environment,"No /scan0, /scan1, /odom_raw, or /camera topics appeared at first.",The Yahboom stack and ROS 2 workspaces were not sourced in the active shell.,I sourced the Yahboom workspace and confirmed /YB_Node plus sensor topics.,"source /opt/ros/humble/setup.bash; source ~/yahboomcar_ws/install/setup.bash; export ROS_DOMAIN_ID=30; ros2 node list; ros2 topic list -t | grep -Ei ""cmd_vel|odom|imu|scan|camera|image|depth""","/YB_Node, /cmd_vel, /odom_raw, /scan0, /scan1, and later /camera/color/image_raw appeared."
ISS-006,Safety dry-run,Controller logs,The CBF layer latched e-stop with reason cbf_infeasible.,The LiDAR reported obstacles or effective clearance below the configured safety radius. This was a correct safety behavior.,"I moved the robot/obstacles when needed, lowered the dry-run radius only for debugging, and never enabled motion while below the safety radius.",SAFETY_RADIUS=0.20 make vln-check-stack; make vln-desktop-radius RADIUS=0.20,"When effective clearance rose to about 0.33 m with radius 0.20 m, the certificate showed safe=true and qp_status=optimal."
ISS-007,LiDAR raw-data inspection,/scan0 and /scan1,The scans contained 0.0 m or 0.05 m readings that made the raw minimum look unsafe.,These were dead-zone or invalid beams near the scanner minimum range rather than usable obstacle clearance.,I added an audited LiDAR sanitizer that discards dead-zone artifacts and uses a conservative fifth-percentile effective clearance.,make vln-lidar-inspect; SAFETY_RADIUS=0.20 make vln-check-stack,"The inspector printed raw_min, valid_min, p05, invalid count, combined effective clearance, and the CBF decision."
ISS-008,Evidence verification,results/certificates and results/vln_runs,Some early runs produced empty certificate and trace JSONL files.,The controller returned early on e-stop or infeasible paths before writing evidence.,I changed the controller so every instruction goes through a single evidence-emission path before any return.,"LATEST_CERT=""$(ls -td results/certificates/* | head -1)""; tail -n 1 ""$LATEST_CERT""/vln_certificates_m3pro.jsonl | python3 -m json.tool",Every instruction now creates a [VLN-EVIDENCE] console line plus non-empty JSONL certificate and trace records.
ISS-009,Makefile debugging,Makefile line around the VLN help section,make failed with missing separator.,A quoted echo line was broken across lines without a proper tab-prefixed Makefile recipe line.,I rewrote the affected help line so each @echo is complete and tab-indented.,"nl -ba Makefile | sed -n ""726,740p""; make -n vln-lidar-inspect",make help and make -n vln-lidar-inspect executed again.
ISS-010,Interpreter path patch,Makefile and live scripts,The LiDAR inspector launched as /usr/bin//usr/bin/python3 and failed.,A replacement script accidentally replaced python3 twice.,I normalized interpreter calls to exactly /usr/bin/python3.,"grep -R ""/usr/bin//usr/bin/python3"" -n Makefile scripts/live || true; make -n vln-lidar-inspect",The dry-run target printed /usr/bin/python3 scripts/live/inspect_lidar_clearance.py.
ISS-011,Camera bring-up,/camera/color/image_raw,The camera topic existed but initially had no publisher or no live frame rate.,"The Orbbec/Dabai camera launch was not active yet, and ROS topic tools on this ROS version did not accept the attempted --qos-profile argument.",I launched the camera stack on the Jetson and verified publisher count and frame rate using the available ros2 topic hz command.,"ros2 node list | grep -Ei ""camera|orbbec""; ros2 topic info /camera/color/image_raw -v; timeout 10s ros2 topic hz /camera/color/image_raw","The camera publisher appeared, the controller logged first camera frame received, and certificates showed camera_seen=true."
