folder,classification,rationale,scene_gate,prim_contact,camera_raise_m,resolution,black_band_frac,img_count,path_length_m,collisions,goal_id,controller_actual,in_h7r_root,immutable,eligible_for_h8_train_val_test,h8_exclusion_reason
h7r_corridor_01_20260714_045626,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2122,3.1212,0,h2_weave_J,scripted_expert,train,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_corridor_02_20260714_051150,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2123,3.2405,0,h2_weave_J,scripted_expert,val,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_reception_01_20260714_042711,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2117,5.7612,0,h2_weave_J,scripted_expert,train,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_reception_02_20260714_044133,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2122,5.439,0,h2_weave_J,scripted_expert,val,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_turn_01_20260714_052544,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2121,2.3931,0,h2_weave_J,scripted_expert,train,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_turn_02_20260714_054954,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2121,2.1083,0,h2_weave_J,scripted_expert,test,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_waiting_01_20260714_060451,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2124,4.9656,0,h2_weave_J,scripted_expert,train,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7r_waiting_02_20260714_062024,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,2121,4.2906,0,h2_weave_J,scripted_expert,test,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8_d1_routeA_turn_up_20260714_154933,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,1425,2.1082,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8_d1_routeB_straight_20260714_183358,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,1453,2.138,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8_d2_routeA_fwdleft_20260714_184624,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,1452,3.2857,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8_d2_routeB_fwdright_20260714_185908,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,1445,3.1356,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_val_lobby_20260714_223318,DEMONSTRATION_EVIDENCE,"gate-verified hospital, raised mount, clean frame, >=1 m motion, 0 collisions",True,False,0.12,640x480,0.0,1442,1.7025,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
authcmp_D_baseline_20260708_145214,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,425,2.989,,hospital_holdout_short_D,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
authcmp_D_stopauth_20260708_145306,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,254,1.0275,,hospital_holdout_short_D,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
authcmp_E_baseline_20260708_145441,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,524,3.9864,,hospital_holdout_medium_E,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
authcmp_E_stopauth_20260708_145535,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,391,2.3941,,hospital_holdout_medium_E,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
full_topics_20260708,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,1376,,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
gnm_closed_loop_20260708_031640,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,129,0.0008,,,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
gnm_closed_loop_20260708_031730,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,272,1.5932,,,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
gnm_closed_loop_20260708_043548,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,289,1.5937,,bringup_stage_goal_A,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
gnm_closed_loop_20260708_044412,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,277,1.5932,,bringup_stage_goal_A,inference_path_check,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_H_a_20260710_021915,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1012,8.935,0,h2_long_turn_H,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_H_b_20260710_022938,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1010,8.9397,0,h2_long_turn_H,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_I_a_20260710_023949,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3854,917,6.8282,688,h2_corridor_I,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_I_b_20260710_025040,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3854,919,6.83,688,h2_corridor_I,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_K_a_20260710_030100,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.025,720,2.1724,2294,h2_near_desk_K,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_K_b_20260710_031001,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3854,719,1.8613,2546,h2_near_desk_K,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_ft_M_20260710_031948,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,912,4.4593,2218,h2_test_occluded_M,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h21_td_M_20260710_033003,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,922,4.4609,2218,h2_test_occluded_M,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h22demo_J_a_20260710_050731,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1687,7.3972,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h22demo_J_b_20260710_052318,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1674,8.2261,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h22demo_J_c_20260710_053905,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1683,6.5774,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_90turn_a_20260710_194950,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,1708,5.1455,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_90turn_b_20260710_200643,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1721,5.2054,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_I_a_20260710_212851,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3854,2121,6.8554,0,h2_corridor_I,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_I_b_20260710_214602,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2119,6.9755,0,h2_corridor_I,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_J_a_20260710_205331,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3854,2109,6.8027,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_J_b_20260710_211036,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2102,6.976,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_scurve_a_20260710_202257,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,2107,7.2087,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_scurve_b_20260710_203800,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2121,7.3809,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_straight_a_20260710_192309,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,1719,6.7066,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_straight_b_20260710_193626,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1709,6.7296,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_test_chain_a_20260710_223718,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,2108,8.0785,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_test_chain_b_20260710_225447,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2120,7.8903,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_test_uturn_a_20260710_220326,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,2034,8.8354,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h24_test_uturn_b_20260710_222002,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2119,8.8962,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
